ts=17181393204, type=DATA_MAG, x=132202, y=130320, z=131589
ts=17181393212, type=DATA_MAG, x=132203, y=130330, z=131589
ts=17181393220, type=DATA_MAG, x=132194, y=130323, z=131598
ts=17181393232, type=DATA_MAG, x=132196, y=130323, z=131601
ts=17181393240, type=DATA_MAG, x=132192, y=130332, z=131584
ts=17181393252, type=DATA_MAG, x=132192, y=130330, z=131594
ts=17181393260, type=DATA_MAG, x=132207, y=130333, z=131590
ts=17181393268, type=DATA_MAG, x=132182, y=130336, z=131624
ts=17181393280, type=DATA_MAG, x=132190, y=130333, z=131603
ts=17181393288, type=DATA_MAG, x=132189, y=130334, z=131617
ts=17181393300, type=DATA_MAG, x=132193, y=130348, z=131609
ts=17181393308, type=DATA_MAG, x=132187, y=130339, z=131608
ts=17181393316, type=DATA_MAG, x=132199, y=130348, z=131609
ts=17181393328, type=DATA_MAG, x=132194, y=130337, z=131618
ts=17181393336, type=DATA_MAG, x=132193, y=130339, z=131623
ts=17181393348, type=DATA_MAG, x=132185, y=130327, z=131633
ts=17181393356, type=DATA_MAG, x=132195, y=130353, z=131626
ts=17181393364, type=DATA_MAG, x=132151, y=130369, z=131631
ts=17181393376, type=DATA_MAG, x=132183, y=130363, z=131611
ts=17181393384, type=DATA_MAG, x=132175, y=130350, z=131632
ts=17181393396, type=DATA_MAG, x=132179, y=130342, z=131625
ts=17181393404, type=DATA_MAG, x=132169, y=130343, z=131618
ts=17181393412, type=DATA_MAG, x=132172, y=130339, z=131628
ts=17181393424, type=DATA_MAG, x=132164, y=130342, z=131605
ts=17181393432, type=DATA_MAG, x=132166, y=130340, z=131610
ts=17181393444, type=DATA_MAG, x=132158, y=130336, z=131605
ts=17181393452, type=DATA_MAG, x=132163, y=130344, z=131617
ts=17181393460, type=DATA_MAG, x=132163, y=130330, z=131602
ts=17181393472, type=DATA_MAG, x=132152, y=130358, z=131630
ts=17181393480, type=DATA_MAG, x=132173, y=130346, z=131625
ts=17181393492, type=DATA_MAG, x=132173, y=130342, z=131625
ts=17181393500, type=DATA_MAG, x=132187, y=130339, z=131613
ts=17181393508, type=DATA_MAG, x=132182, y=130343, z=131621
ts=17181393520, type=DATA_MAG, x=132186, y=130346, z=131614
ts=17181393528, type=DATA_MAG, x=132175, y=130342, z=131625
ts=17181393540, type=DATA_MAG, x=132180, y=130345, z=131618
ts=17181393548, type=DATA_MAG, x=132171, y=130342, z=131610
ts=17181393556, type=DATA_MAG, x=132178, y=130347, z=131611
ts=17181393568, type=DATA_MAG, x=132176, y=130349, z=131616
ts=17181393576, type=DATA_MAG, x=132194, y=130349, z=131623
ts=17181393588, type=DATA_MAG, x=132177, y=130346, z=131620
ts=17181393596, type=DATA_MAG, x=132189, y=130344, z=131612
ts=17181393604, type=DATA_MAG, x=132176, y=130331, z=131621
ts=17181393616, type=DATA_MAG, x=132183, y=130345, z=131618
ts=17181393624, type=DATA_MAG, x=132138, y=130380, z=131643
ts=17181393636, type=DATA_MAG, x=132149, y=130387, z=131656
ts=17181393644, type=DATA_MAG, x=132138, y=130379, z=131639
ts=17181393652, type=DATA_MAG, x=132162, y=130368, z=131652
ts=17181393664, type=DATA_MAG, x=132152, y=130365, z=131646
ts=17181393672, type=DATA_MAG, x=132156, y=130370, z=131647
ts=17181393684, type=DATA_MAG, x=132181, y=130350, z=131620
ts=17181393692, type=DATA_MAG, x=132185, y=130355, z=131626
ts=17181393700, type=DATA_MAG, x=132172, y=130372, z=131617
ts=17181393712, type=DATA_MAG, x=132180, y=130352, z=131627
ts=17181393720, type=DATA_MAG, x=132177, y=130347, z=131623
ts=17181393732, type=DATA_MAG, x=132175, y=130353, z=131633
ts=17181393740, type=DATA_MAG, x=132138, y=130393, z=131637
ts=17181393748, type=DATA_MAG, x=132114, y=130388, z=131688
ts=17181393760, type=DATA_MAG, x=132075, y=130462, z=131602
ts=17181393768, type=DATA_MAG, x=132103, y=130375, z=131682
ts=17181393780, type=DATA_MAG, x=132137, y=130378, z=131615
ts=17181393788, type=DATA_MAG, x=132137, y=130354, z=131635
ts=17181393796, type=DATA_MAG, x=132153, y=130357, z=131634
ts=17181393808, type=DATA_MAG, x=132136, y=130369, z=131627
ts=17181393816, type=DATA_MAG, x=132119, y=130395, z=131644
ts=17181393828, type=DATA_MAG, x=132131, y=130347, z=131627
ts=17181393836, type=DATA_MAG, x=132147, y=130360, z=131620
ts=17181393844, type=DATA_MAG, x=132136, y=130358, z=131635
ts=17181393856, type=DATA_MAG, x=132174, y=130357, z=131638
ts=17181393864, type=DATA_MAG, x=132166, y=130349, z=131611
ts=17181393876, type=DATA_MAG, x=132173, y=130367, z=131638
ts=17181393884, type=DATA_MAG, x=132169, y=130361, z=131643
