ts=17187243288, type=DATA_MAG, x=136261, y=127172, z=127743
ts=17187243300, type=DATA_MAG, x=136267, y=127146, z=127763
ts=17187243308, type=DATA_MAG, x=136255, y=127115, z=127756
ts=17187243320, type=DATA_MAG, x=136263, y=127090, z=127767
ts=17187243328, type=DATA_MAG, x=136262, y=127066, z=127760
ts=17187243336, type=DATA_MAG, x=136270, y=127029, z=127781
ts=17187243348, type=DATA_MAG, x=136272, y=127013, z=127783
ts=17187243356, type=DATA_MAG, x=136271, y=126976, z=127802
ts=17187243368, type=DATA_MAG, x=136267, y=126975, z=127803
ts=17187243376, type=DATA_MAG, x=136266, y=126926, z=127814
ts=17187243384, type=DATA_MAG, x=136275, y=126902, z=127819
ts=17187243396, type=DATA_MAG, x=136274, y=126866, z=127831
ts=17187243404, type=DATA_MAG, x=136276, y=126855, z=127835
ts=17187243416, type=DATA_MAG, x=136269, y=126819, z=127852
ts=17187243424, type=DATA_MAG, x=136286, y=126797, z=127852
ts=17187243432, type=DATA_MAG, x=136242, y=126801, z=127858
ts=17187243444, type=DATA_MAG, x=136175, y=126842, z=127900
ts=17187243452, type=DATA_MAG, x=136238, y=126733, z=127890
ts=17187243464, type=DATA_MAG, x=136233, y=126729, z=127912
ts=17187243472, type=DATA_MAG, x=136244, y=126666, z=127916
ts=17187243480, type=DATA_MAG, x=136259, y=126664, z=127930
ts=17187243492, type=DATA_MAG, x=136245, y=126649, z=127939
ts=17187243500, type=DATA_MAG, x=136264, y=126600, z=127942
ts=17187243512, type=DATA_MAG, x=136250, y=126568, z=127955
ts=17187243520, type=DATA_MAG, x=136257, y=126557, z=127974
ts=17187243528, type=DATA_MAG, x=136254, y=126529, z=127973
ts=17187243540, type=DATA_MAG, x=136282, y=126507, z=127998
ts=17187243548, type=DATA_MAG, x=136282, y=126483, z=128005
ts=17187243560, type=DATA_MAG, x=136289, y=126465, z=128018
ts=17187243568, type=DATA_MAG, x=136273, y=126466, z=128029
ts=17187243576, type=DATA_MAG, x=136288, y=126419, z=128052
ts=17187243588, type=DATA_MAG, x=136293, y=126412, z=128033
ts=17187243596, type=DATA_MAG, x=136293, y=126394, z=128061
ts=17187243608, type=DATA_MAG, x=136292, y=126393, z=128067
ts=17187243616, type=DATA_MAG, x=136287, y=126352, z=128091
ts=17187243624, type=DATA_MAG, x=136290, y=126359, z=128074
ts=17187243636, type=DATA_MAG, x=136291, y=126340, z=128105
ts=17187243644, type=DATA_MAG, x=136297, y=126344, z=128100
ts=17187243656, type=DATA_MAG, x=136294, y=126323, z=128124
ts=17187243664, type=DATA_MAG, x=136304, y=126314, z=128118
ts=17187243672, type=DATA_MAG, x=136289, y=126302, z=128123
ts=17187243684, type=DATA_MAG, x=136302, y=126295, z=128134
ts=17187243692, type=DATA_MAG, x=136295, y=126288, z=128133
ts=17187243704, type=DATA_MAG, x=136294, y=126290, z=128145
